500	73300
600	67000
700	85400
800	78700
900	91200
1000	102300
1100	121300
1200	143400
1300	156900
1400	163500
1500	196200
1600	168800
1700	183700
1800	195600
1900	223400
2000	242400
2100	253000
2200	254100
2300	258400
2400	302600
2500	334900
2600	303600
2700	309600
2800	348200
2900	359400
3000	369400
3100	378400
3200	365300
3300	484600
3400	404600
3500	438100
3600	452900
3700	438300
3800	466400
3900	462000
4000	549600
4100	476700
4200	524000
4300	513400
4400	589000
4500	564700
4600	597700
4700	662700
4800	610000
4900	678400
5000	646600
5100	652000
5200	700400
5300	653500
5400	674000
5500	669700
5600	842200
5700	681400
5800	735800
5900	796900
6000	950100
6100	778300
6200	828400
6300	832200
6400	866700
6500	878800
6600	847300
6700	903600
6800	927100
6900	948000
7000	945100
7100	905200
7200	934300
7300	932000
7400	974800
7500	1294100
7600	1067300
7700	1084900
7800	992400
7900	1029700
8000	1069500
8100	1042300
8200	1202400
8300	1099800
8400	1141000
8500	1201800
8600	1182300
8700	1174400
8800	1258000
8900	1333400
9000	1165000
9100	1230800
9200	1265500
9300	1325400
9400	1323400
9500	1303500
9600	1338600
9700	1329600
9800	1323000
9900	1400400
10000	1639600
