500	143100
600	207600
700	157800
800	224500
900	290600
1000	415300
1100	353500
1200	481500
1300	287900
1400	493100
1500	389200
1600	455900
1700	508400
1800	573800
1900	619100
2000	672800
2100	765600
2200	764600
2300	915600
2400	945300
2500	636600
2600	687200
2700	733400
2800	826000
2900	822300
3000	882100
3100	933500
3200	1321600
3300	1032500
3400	1113400
3500	1144100
3600	1208400
3700	1363600
3800	1467300
3900	1388500
4000	1463800
4100	1506000
4200	1733000
4300	1766800
4400	1895100
4500	1752300
4600	1999900
4700	1945900
4800	2104600
4900	1289400
5000	1317000
5100	1440800
5200	1483700
5300	1491200
5400	1617000
5500	1677500
5600	1712000
5700	1723400
5800	1825700
5900	2394700
6000	1726300
6100	1897900
6200	2024700
6300	1986800
6400	2121500
6500	2122300
6600	2182100
6700	2216900
6800	2302100
6900	2456700
7000	2745500
7100	2477700
7200	2509000
7300	2594000
7400	2716800
7500	2821400
7600	2861200
7700	2885700
7800	2880000
7900	3001000
8000	2957800
8100	3157300
8200	3151600
8300	3258800
8400	3303000
8500	3435000
8600	3596400
8700	3551600
8800	3523800
8900	3720100
9000	3914300
9100	3803400
9200	3926200
9300	3887900
9400	4075900
9500	4745800
9600	4368800
9700	2897500
9800	2939600
9900	2859700
10000	3106700
